question,expected_answer,llm_answer,rag_answer,llm_exact_match,rag_exact_match,llm_keyword_match,rag_keyword_match,llm_length_difference,rag_length_difference,llm_judge,rag_judge
How much notice is required for short leaves?,At least 1 week in advance.,"The notice required for short leaves typically varies, but it's often as little as 30 minutes to a few hours, depending on the company's policies.",Not found in context.,0,0,0.0,0.167,3.167,0.333,2,1
How much notice is required for leaves of 5 or more days?,At least 2 months in advance.,30 days' notice is typically required for leaves of 5 or more days.,"For leaves of 5 or more days, approval must be secured at least 2 months in advance.",0,0,0.0,1.0,1.167,1.833,2,5
What support is available after maternity leave?,"Flexible hours, remote work, daycare, wellness coach, and counselor.","After maternity leave, available support may include: 
1. Flexible working arrangements
2. Parenting classes or workshops
3. Employee assistance programs (EAPs)
4. Breastfeeding support and facilities
5. Parental leave policies for future leave
6. Return-to-work programs or coaching
7. Access to childcare resources or referrals.","After maternity leave, support continues with flexible working hours, remote work options, and onsite facilities to help ease back into work while caring for a new child. This support is designed to make the transition back to work feel lighter and more manageable.",0,0,0.333,0.556,4.0,3.778,4,4
Can prenatal and postnatal expenses be claimed?,"Yes, through Emumba's IPD and OPD policies.","Yes, prenatal and postnatal expenses can be claimed under certain tax deductions and insurance policies, subject to specific conditions and limits.","Yes, prenatal and postnatal expenses can be claimed through Emumba's IPD & OPD policies. You can claim these expenses as part of your leave planning.",0,0,0.375,1.0,2.0,2.571,4,5
When should paternity leave be planned?,At least 2 months in advance.,"Paternity leave should be planned as soon as possible after the pregnancy is confirmed, ideally 2-3 months before the expected due date, to ensure a smooth transition of work responsibilities and to make necessary arrangements.",Paternity leave should be planned by informing the manager at least 2 months in advance. Earlier planning is better for a smooth transition.,0,0,0.333,1.0,4.833,2.833,5,5
How often can Special Occasion Leave be taken?,Once every two years.,"Special Occasion Leave can typically be taken as needed for specific, infrequent events such as weddings, funerals, or graduations, but the exact frequency may vary depending on the organization's policies.",Special Occasion Leave is available once every two years. This ensures fairness and balance across the team while allowing employees to celebrate significant milestones.,0,0,0.0,1.0,6.5,5.0,3,5
What approval is required for leaves longer than 10 working days?,Approval at least 2 months in advance.,Approval from the Head of Department or higher authority is typically required for leaves longer than 10 working days.,Leaves longer than 10 working days require mandatory approval at least 2 months in advance.,0,0,0.143,1.0,1.714,1.143,4,5
What is the maximum combined duration of Special Occasion Leave and PTO?,15 days total.,"The maximum combined duration of Special Occasion Leave and PTO is not specified in the given context, so I would need more information to provide an accurate answer. However, typically, the combined duration can vary depending on the company's policies, often ranging from a few weeks to several months.",The combined total of Special Occasion Leave and PTO must not exceed 15 days total.,0,0,0.0,1.0,15.333,4.0,2,5
Can employees take leave during their notice period?,"No, leave cannot be taken during the notice period.","Yes, employees can take leave during their notice period, but it's subject to the company's policies and the type of leave. Annual leave, sick leave, and other types of leave may be allowed, but it's best to check with the employer or HR department for specific guidelines.","Leaves can't be taken during the notice period. This time is meant for wrapping things up, handing over work, and helping the team transition smoothly.",0,0,0.667,0.667,4.222,1.778,4,5
Which system is used to apply for leave?,BambooHR Time Off Request Module.,"The system used to apply for leave is typically an HR Management System or a Leave Management System, often referred to as an HRMS or LMS.",The Leave Application Process uses BambooHR's Time system. Employees are instructed to use this system to apply for leave.,0,0,0.0,0.4,4.2,2.8,2,4
What should employees do if leave is not approved within 48 hours?,Follow up with the manager.,"If leave is not approved within 48 hours, employees should follow up with their supervisor or HR to inquire about the status of their request.","If leave isn't approved within 48 hours, employees should follow up.",0,0,0.8,0.4,4.0,1.2,5,4
What should employees do if leave remains unapproved after 10 working days?,Contact HR.,Employees should follow up with their supervisor or HR to inquire about the status of their leave application if it remains unapproved after 10 working days.,"If an employee's leave remains unapproved after 10 working days, they should ping HR to bring them in the loop. This step helps to ensure that the leave is processed and approved in a timely manner.",0,0,0.5,0.5,12.0,17.0,5,5
